epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,961.603,0.54158,0.406,0.93798,0.97081,0.91674,0.96014,0.78886,0.66918,0.42714,1.00946,0.0025241,0.0025241,0.0025241
75,973.955,0.53597,0.39523,0.93414,0.96977,0.91397,0.96128,0.79299,0.66039,0.43619,0.99786,0.00241954,0.00241954,0.00241954
76,986.543,0.51842,0.39054,0.92767,0.95089,0.93836,0.96283,0.80333,0.65023,0.42757,1.00336,0.00231802,0.00231802,0.00231802
77,999.599,0.52144,0.38832,0.93074,0.96813,0.92486,0.96105,0.79684,0.65471,0.4289,0.99382,0.00221964,0.00221964,0.00221964
78,1011.92,0.53366,0.39946,0.93681,0.95656,0.92709,0.9609,0.79935,0.65576,0.43223,1.00142,0.0021245,0.0021245,0.0021245
79,1025.12,0.52518,0.39147,0.92713,0.9544,0.93436,0.95948,0.7995,0.65283,0.42566,1.00563,0.00203269,0.00203269,0.00203269
80,1037.76,0.51315,0.37644,0.92357,0.95078,0.92999,0.95934,0.80206,0.64998,0.42745,1.00377,0.0019443,0.0019443,0.0019443
81,1050.62,0.50285,0.378,0.92386,0.95997,0.92264,0.95791,0.8002,0.63742,0.41602,0.99821,0.00185942,0.00185942,0.00185942
82,1063.72,0.49968,0.37525,0.92099,0.96436,0.93066,0.96116,0.8051,0.64057,0.41433,1.00064,0.00177814,0.00177814,0.00177814
83,1076.7,0.49767,0.37567,0.91869,0.97414,0.92807,0.96333,0.8138,0.6336,0.40992,0.99126,0.00170052,0.00170052,0.00170052
84,1088.78,0.48644,0.36752,0.90911,0.9775,0.92225,0.96303,0.81069,0.62907,0.40359,0.98881,0.00162666,0.00162666,0.00162666
85,1102.26,0.49391,0.37045,0.91325,0.98233,0.92386,0.96295,0.80397,0.63523,0.40783,0.99193,0.00155662,0.00155662,0.00155662
86,1130.65,0.42,0.3022,0.86954,0.97064,0.92951,0.9627,0.80287,0.63459,0.40327,1.00063,0.00149047,0.00149047,0.00149047
87,1144.04,0.41562,0.29862,0.85897,0.98171,0.92384,0.96662,0.81278,0.64801,0.40881,1.00578,0.00142828,0.00142828,0.00142828
88,1157.64,0.40822,0.29457,0.86268,0.97871,0.92378,0.96304,0.8058,0.63779,0.4104,1.0042,0.0013701,0.0013701,0.0013701
